BetaShares Portfolio Holdings,,,,,,,,,,
,,,,,,,,,,
Fund Name,BetaShares Australia 200 ETF,,,,,,,,,
Fund ASX Code,A200,,,,,,,,,
Date,2023-02-17,,,,,,,,,
,,,,,,,,,,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
WPR AT,BLBQ285,WAYPOINT REIT,Equities,Real Estate,Australia,AUD,0.000847,834152,2277234.96,2277234.96
AIA AT,BLRZSS8,AUCKLAND INTERNATIONAL AIRPORT,Equities,Industrials,Australia,AUD,0.000845,289676,2271059.84,2271059.84
CRN AT,BGV71W0,CORONADO GLOBAL RESOURCES INC,Equities,Materials,Australia,AUD,0.000821,1030778,2205864.92,2205864.92
CHN AT,B0ZGW28,CHALICE MINING LTD,Equities,Materials,Australia,AUD,0.000819,354491,2201389.11,2201389.11
CIP AT,BD31FD8,CENTURIA INDUSTRIAL REIT,Equities,Real Estate,Australia,AUD,0.000804,660604,2160175.08,2160175.08
APE AT,6296201,EAGERS AUTOMOTIVE LTD,Equities,Consumer Discretionary,Australia,AUD,0.00078,187263,2095472.97,2095472.97
GNC AT,6102331,GRAINCORP LTD,Equities,Consumer Staples,Australia,AUD,0.000778,268630,2089941.4,2089941.4
EVT AT,BDG0N49,EVENT HOSPITALITY AND ENTERTAI,Equities,Communication Services,Australia,AUD,0.000771,146069,2072719.11,2072719.11
INA AT,B84GSC7,INGENIA COMMUNITIES GROUP,Equities,Real Estate,Australia,AUD,0.000769,447379,2066890.98,2066890.98
DEG AT,6534837,DE GREY MINING LTD,Equities,Materials,Australia,AUD,0.000765,1539882,2055742.47,2055742.47
NWL AT,BF52PL1,NETWEALTH GROUP LTD,Equities,Financials,Australia,AUD,0.000755,148442,2030686.56,2030686.56
IRE AT,6297497,IRESS LTD,Equities,Information Technology,Australia,AUD,0.000738,215520,1984939.2,1984939.2
HLS AT,BFZYRL1,HEALIUS LTD,Equities,Healthcare,Australia,AUD,0.000734,680040,1972116,1972116
CNU AT,B54F6S5,CHORUS LTD,Equities,Communication Services,Australia,AUD,0.000722,252562,1939676.16,1939676.16
LIC AT,6137195,LIFESTYLE COMMUNITIES LTD,Equities,Real Estate,Australia,AUD,0.000721,113341,1938131.1,1938131.1
CXO AT,B4XFS83,CORE LITHIUM LTD,Equities,Materials,Australia,AUD,0.00071,1986853,1907378.88,1907378.88
NIC AT,BZ7NDP2,NICKEL MINES LTD,Equities,Materials,Australia,AUD,0.000701,1803131,1884271.895,1884271.895
GOR AT,B15F5K1,GOLD ROAD RESOURCES LTD,Equities,Materials,Australia,AUD,0.000699,1295313,1878203.85,1878203.85
IVC AT,6715267,INVOCARE LTD,Equities,Consumer Discretionary,Australia,AUD,0.000683,168134,1836023.28,1836023.28
MFG AT,B015YX4,MAGELLAN FINANCIAL GROUP LTD,Equities,Financials,Australia,AUD,0.000676,186144,1816765.44,1816765.44
SYA AT,BBX4LR9,SAYONA MINING LTD,Equities,Materials,Australia,AUD,0.000674,8430331,1812521.165,1812521.165
GUD AT,6358004,GUD HOLDINGS LTD,Equities,Consumer Discretionary,Australia,AUD,0.000658,176221,1769258.84,1769258.84
TLX AT,BF7M092,TELIX PHARMACEUTICALS LTD,Equities,Healthcare,Australia,AUD,0.000652,285287,1751662.18,1751662.18
RRL AT,6476542,REGIS RESOURCES LTD,Equities,Materials,Australia,AUD,0.000644,909266,1732151.73,1732151.73
LOV AT,BT9PVP0,LOVISA HOLDINGS LTD,Equities,Consumer Discretionary,Australia,AUD,0.000638,71871,1716279.48,1716279.48
BKL AT,6102267,BLACKMORES LTD,Equities,Consumer Staples,Australia,AUD,0.000626,19989,1682674.02,1682674.02
ELD AT,6357852,ELDERS LTD,Equities,Consumer Staples,Australia,AUD,0.000624,187842,1677429.06,1677429.06
PNI AT,BD0F7H1,PINNACLE INVESTMENT MANAGEMENT,Equities,Financials,Australia,AUD,0.000621,169248,1668785.28,1668785.28
YAL AT,B84LB45,YANCOAL AUSTRALIA LTD,Equities,Energy,Australia,AUD,0.000614,294653,1650056.8,1650056.8
CCP AT,6287658,CREDIT CORP GROUP LTD,Equities,Financials,Australia,AUD,0.000611,81770,1642759.3,1642759.3
ARF AT,B99K263,ARENA REIT,Equities,Real Estate,Australia,AUD,0.000591,414600,1587918,1587918
SGR AT,BD5ZR98,STAR ENTERTAINMENT GRP LTD/THE,Equities,Consumer Discretionary,Australia,AUD,0.000588,1060604,1580299.96,1580299.96
BLD AT,6218670,BORAL LTD,Equities,Materials,Australia,AUD,0.000583,408250,1567680,1567680
MND AT,6600471,MONADELPHOUS GROUP LTD,Equities,Industrials,Australia,AUD,0.00058,112019,1559304.48,1559304.48
KAR AT,B00SV00,KAROON ENERGY LTD,Equities,Energy,Australia,AUD,0.000573,678920,1541148.4,1541148.4
ABP AT,6565707,ABACUS PROPERTY GROUP,Equities,Real Estate,Australia,AUD,0.000568,519500,1527330,1527330
CNI AT,6518745,CENTURIA CAPITAL GROUP,Equities,Real Estate,Australia,AUD,0.000555,799232,1490567.68,1490567.68
CGC AT,BYSGKW9,COSTA GROUP HOLDINGS LTD,Equities,Consumer Staples,Australia,AUD,0.000553,559198,1487466.68,1487466.68
CQE AT,BHJVMY0,CHARTER HALL SOCIAL INFRASTRUC,Equities,Real Estate,Australia,AUD,0.00055,450407,1477334.96,1477334.96
NWS AT,BD7SZP7,NEWS CORP,Equities,Communication Services,Australia,AUD,0.000546,53426,1468680.74,1468680.74
NAN AT,B1WF979,NANOSONICS LTD,Equities,Healthcare,Australia,AUD,0.000545,296161,1465996.95,1465996.95
SYR AT,B23HV20,SYRAH RESOURCES LTD,Equities,Materials,Australia,AUD,0.000545,779420,1465309.6,1465309.6
SPK AT,6881500,SPARK NEW ZEALAND LTD,Equities,Communication Services,Australia,AUD,0.000537,298697,1442706.51,1442706.51
FBU AT,6341617,FLETCHER BUILDING LTD,Equities,Materials,Australia,AUD,0.000511,306727,1374136.96,1374136.96
CMM AT,BDD98W2,CAPRICORN METALS LTD,Equities,Materials,Australia,AUD,0.000489,335317,1314442.64,1314442.64
LNK AT,BYZBCY3,LINK ADMINISTRATION HOLDINGS L,Equities,Information Technology,Australia,AUD,0.000481,618457,1292575.13,1292575.13
